Réutilisation,Jeu de données du top 100,Lien du jeu de données,Thématique,Type,Réutilisateur,Lien de la réutilisation,Absence de réutilisations de qualité sur le jdd,Commentaires,Top 100 actuel
,Monuments historiques classés à Saint Malo,http://www.data.gouv.fr/fr/datasets/monuments-historiques-classes-a-saint-malo/,,,,,Yes,,Yes
,Monuments patrimoine Blagnac,http://www.data.gouv.fr/fr/datasets/monuments-patrimoine-blagnac/,,,,,Yes,,Yes
,Monuments historiques de Lille-Hellemmes-Lomme,http://www.data.gouv.fr/fr/datasets/monuments-historiques-de-lille-hellemmes-lomme/,,,,,Yes,,Yes
,Liste monuments historiques de Roubaix,http://www.data.gouv.fr/fr/datasets/liste-monuments-historiques-de-roubaix/,,,,,Yes,,Yes
Annuaire des Entreprises,"BODACC, Base Sirene des entreprises et de leurs établissements (SIREN SIRET), Liste Publique des Organismes de Formation, Liste des conventions collectives par entreprise (SIRET), Répertoire National des Associations, Répertoire national des élus",https://www.data.gouv.fr/fr/datasets/liste-publique-des-organismes-de-formation-l-6351-7-1-du-code-du-travail/,Economie et entreprise,Application,DINUM,https://www.data.gouv.fr/fr/reuses/lannuaire-des-entreprises/,No,,No
Annuaire national des certifiés Qualiopi by Pronéo Certification,Liste Publique des Organismes de Formation,https://www.data.gouv.fr/fr/datasets/liste-publique-des-organismes-de-formation-l-6351-7-1-du-code-du-travail/,Emploi et formation,Application,Pronéo Certification,https://www.data.gouv.fr/fr/reuses/annuaire-national-des-certifies-qualiopi-by-proneo-certification/,No,,Yes
,Associations Reconnues d'Utilité Publique,http://www.data.gouv.fr/fr/datasets/associations-reconnues-d-utilite-publique/,,,,,Yes,,Yes
Module de consultation des zonages de l'Observatoire des territoires,"Communes de la loi Montagne au Code Officiel Géographique (COG 2020->2022), Programme Action coeur de ville, Programme Petites villes de demain, Zones d'Aide à finalité régionale (AFR), Zones de Revitalisation Rurale",http://www.data.gouv.fr/fr/datasets/zones-de-revitalisation-rurale-zrr/,Politique et vie publique,Application,Observatoire des territoires,https://www.data.gouv.fr/fr/reuses/module-de-consultation-des-zonages-de-lobservatoire-des-territoires/,No,,No
Carte interactive des zones de revitalisation rurale (ZRR),Zones de Revitalisation Rurale,http://www.data.gouv.fr/fr/datasets/zones-de-revitalisation-rurale-zrr/,Politique et vie publique,Visualisation,Observatoire des territoires,https://www.data.gouv.fr/fr/reuses/carte-interactive-des-zones-de-revitalisation-rurale-zrr/,No,,Yes
Cartographie de l'indice de position sociale des écoles et collèges (France métropolitaine et DROM),Indices de position sociale dans les écoles de France métropolitaine et DROM (2016-2021),http://www.data.gouv.fr/fr/datasets/indices-de-position-sociale-dans-les-ecoles-de-france-metropolitaine-et-drom-version-2-1/,Education et recherche,Visualisation,Jérémy Garniaux,https://www.data.gouv.fr/fr/reuses/cartographie-de-lindice-de-position-sociale-des-ecoles-et-colleges-france-metropolitaine-et-drom/,No,,Yes
